"geo_name","Total population","Average age","Median age","Median after-tax income","Average after-tax income","Employment income (%)","Gini index","External migrants 1 year ago","External migrants 5 years ago","LANDAREA"
"H1E",42570,43.6,45.2,30600,34960,68.8,0.2,140,945,10.9806
"H1G",50990,41.4,40.8,26000,29240,64.4,0.2,375,4365,7.841
"H1H",37845,40.7,40.4,26600,29760,65.2,0.2,305,3530,4.5821
"H1J",10590,44.1,46,32400,37240,66.2,0.3,100,760,8.2921
"H1K",37305,39.6,40,33600,38120,72.8,0.3,225,2945,6.1714
"H1L",34615,42,41.6,31800,34960,71,0.3,175,1835,7.5319
"H1M",29350,46.8,47.6,32800,37160,62.2,0.3,340,2125,4.9377
"H1N",24445,43.5,41.6,31200,34880,70.6,0.3,245,2095,8.7485
"H1P",18120,42,42.8,29400,34040,65.8,0.3,90,965,5.1182
"H1R",31260,41.1,41.6,28800,33640,64.8,0.3,195,1835,4.6352
"H1S",26715,43.8,43.6,28000,31800,64.4,0.3,290,2160,4.7079
"H1T",31320,43,42.4,31400,37040,66.6,0.3,465,2865,4.1367
"H1V",21910,39.8,37.2,31600,36400,79.8,0.3,275,1440,5.0314
"H1W",30005,38.1,34.8,30200,34080,79.6,0.3,385,2505,3.2347
"H1X",30180,40.9,39.6,31600,37360,75.2,0.3,355,2535,2.7566
"H1Y",29290,41,39.6,35600,41640,78.2,0.3,255,1460,2.6523
"H1Z",36490,37.6,36.8,24000,26560,65.8,0.2,405,4205,6.9851
"H2A",19455,40.2,39.2,25600,29760,70.8,0.3,345,1930,2.1482
"H2B",18050,41.7,41.6,30600,35440,70.2,0.3,280,1545,2.5744
"H2C",17975,43.8,42.8,35200,42760,72.6,0.3,155,1345,2.6704
"H2E",23505,39.1,36.8,28200,32640,75,0.3,195,1980,1.915
"H2G",22115,39.2,36.8,34000,39440,80,0.3,360,1685,2.0126
"H2H",14730,37.2,34.4,34400,40200,82.4,0.3,280,1605,1.1386
"H2J",27030,37,34.4,36400,44200,82.4,0.3,820,4105,1.9263
"H2K",29085,38.4,34.8,28600,33360,80,0.3,725,3830,3.5421
"H2L",27055,41.4,36.8,31200,38760,76.2,0.4,960,4165,2.4144
"H2M",18465,42.7,40.8,35200,39320,70.2,0.3,115,835,3.3748
"H2N",6440,40.1,38.8,27000,30440,71.2,0.3,65,615,1.13
"H2P",14385,37.6,34.8,35200,40160,80.8,0.3,265,1125,1.6857
"H2R",22985,38.6,35.6,34800,42800,80.4,0.3,405,1850,2.1826
"H2S",27215,37.9,35.2,34800,42000,80.6,0.3,435,2540,2.5422
"H2T",16300,38.9,36,31600,40320,79.4,0.3,545,2025,1.3553
"H2V",31995,37.3,34,38800,63050,72,0.4,480,2510,4.4083
"H2W",11510,37.4,32.4,27600,39680,79.2,0.4,610,2165,0.9836
"H2X",21545,39.2,32.4,23200,31960,70,0.4,1360,5465,1.565
"H2Y",3725,45.8,45.2,47600,62350,76.6,0.4,85,400,0.5104
"H2Z",3755,42.1,35.6,30800,46560,70.6,0.4,295,950,0.5174
"H3A",4360,35.8,28.8,21200,34680,68.4,0.5,340,1615,0.5669
"H3B",1900,34,30.2,28200,47600,85.2,0.6,190,575,0.3691
"H3C",18585,36.4,33.2,44800,57100,84.2,0.4,650,2795,4.7286
"H3E",21565,45.6,46.4,43600,60250,67.4,0.4,410,2540,3.7081
"H3G",11425,39.4,32,26600,55900,51.9,0.6,665,3440,0.8859
"H3H",20690,37.1,30.6,21000,42920,78.2,0.5,1385,7845,3.7198
"H3J",11915,40,37.6,30600,42960,74.2,0.4,115,640,1.1
"H3K",15275,38.7,36.8,32800,42960,79.8,0.4,150,900,4.4367
"H3L",20995,40.1,39.2,34400,43360,75,0.3,275,2070,3.6271
"H3M",15840,44.8,45.6,27200,35280,66,0.3,155,1170,2.8339
"H3N",29080,39.2,37.2,21000,24380,66.8,0.3,490,6305,1.6611
"H3P",10175,41.8,43.2,46400,70700,69.2,0.4,165,1040,2.7467
"H3R",10110,41.9,43.2,44400,73300,68,0.5,150,1155,2.6791
"H3S",33620,37.4,34.8,24600,32400,62.9,0.3,930,6430,2.8468
"H3T",13010,37.3,30.4,23400,36200,71,0.4,470,3425,1.5744
"H3V",6735,42.5,36.8,27200,34680,58.4,0.3,285,1605,1.7925
"H3W",30765,39.9,37.6,25200,32920,69.6,0.3,610,5405,2.9969
"H3X",24215,41.6,40,32800,49160,65.6,0.4,365,2485,3.4584
"H3Y",9565,42.8,46,58000,143600,59.7,0.5,215,760,2.5363
"H3Z",11545,49.4,50.4,39600,71400,50.2,0.5,315,1525,1.5413
"H4A",26360,40.4,38.8,35600,52150,78.2,0.4,480,2670,3.0336
"H4B",20935,40.7,39.6,26800,35960,72.8,0.4,330,3150,3.0934
"H4C",17300,38.7,34.4,32800,39560,80.6,0.3,210,1125,3.9029
"H4E",30155,41.1,39.2,30000,34360,73.4,0.3,420,2215,4.5651
"H4G",29860,39.5,36,31800,36120,79.6,0.3,420,2775,2.7796
"H4H",18935,41.3,40.4,35600,41080,77.6,0.3,120,825,3.1279
"H4J",18075,38.9,38,26600,32960,70.8,0.3,300,3070,2.8353
