"geo_name","cluster","LANDAREA","Total population","Median age","Average age","Median after-tax income","Average after-tax income","Employment income (%)","Gini index","External migrants 1 year ago","External migrants 5 years ago"
"M4V",13,2.7339,19275,45.2,46.3,50400,104900,64.6,0.6,290,1245
"M4W",13,4.4645,15295,44.8,45.4,51200,134000,71,0.6,300,1485
"M4X",9,1.1465,19895,39.2,40.7,28000,37040,75.2,0.4,430,2920
"M4Y",1,1.0366,36320,33.2,38.6,34400,43160,80,0.4,1345,6520
"M5A",1,3.7157,48975,36.4,39.6,35200,46880,82,0.4,805,4300
"M5B",1,0.5576,17425,31.4,36.7,29400,39440,81.2,0.4,685,3195
"M5C",1,0.2219,3150,36.4,40.3,49200,56950,85.2,0.4,75,260
"M5E",1,0.4951,11780,34.4,39.8,51200,65100,85.4,0.4,470,1780
"M5G",1,0.7095,9755,30.8,34.2,33200,42400,82.6,0.4,655,2275
"M5H",1,0.4726,3245,31.4,35.2,44000,68700,83.4,0.5,325,755
"M5J",1,4.1369,16880,33.6,39.1,48000,59900,82.4,0.4,685,3235
"M5M",13,5.1585,25495,43.2,40.7,53600,85100,73.6,0.4,220,1210
"M5N",13,2.754,16155,41.6,41.5,43600,82800,68.6,0.5,325,1185
