"Geo Code","Geo Name","Line Number"
"2021A0011K4B","K4B",1820654
"2021A0011K4C","K4C",1823285
"2021A0011K4K","K4K",1825916
"2021A0011K4M","K4M",1828547
"2021A0011K4P","K4P",1831178
"2021A0011K4R","K4R",1833809
"2021A0011K6A","K6A",1836440
"2021A0011K6H","K6H",1839071
"2021A0011K6J","K6J",1841702
"2021A0011K6K","K6K",1844333
"2021A0011K6T","K6T",1846964
"2021A0011K6V","K6V",1849595
"2021A0011K7A","K7A",1852226
"2021A0011K7C","K7C",1854857
"2021A0011K7G","K7G",1857488
"2021A0011K7H","K7H",1860119
"2021A0011K7K","K7K",1862750
"2021A0011K7L","K7L",1865381
"2021A0011K7M","K7M",1868012
"2021A0011K7N","K7N",1870643
"2021A0011K7P","K7P",1873274
"2021A0011K7R","K7R",1875905
"2021A0011K7S","K7S",1878536
"2021A0011K7V","K7V",1881167
"2021A0011K8A","K8A",1883798
"2021A0011K8B","K8B",1886429
"2021A0011K8H","K8H",1889060
"2021A0011K8N","K8N",1891691
"2021A0011K8P","K8P",1894322
"2021A0011K8R","K8R",1896953
"2021A0011K8V","K8V",1899584
"2021A0011K9A","K9A",1902215
"2021A0011K9H","K9H",1904846
"2021A0011K9J","K9J",1907477
"2021A0011K9K","K9K",1910108
"2021A0011K9L","K9L",1912739
"2021A0011K9V","K9V",1915370
"2021A0011L0A","L0A",1918001
"2021A0011L0B","L0B",1920632
"2021A0011L0C","L0C",1923263
"2021A0011L0E","L0E",1925894
"2021A0011L0G","L0G",1928525
"2021A0011L0H","L0H",1931156
"2021A0011L0J","L0J",1933787
"2021A0011L0K","L0K",1936418
"2021A0011L0L","L0L",1939049
"2021A0011L0M","L0M",1941680
"2021A0011L0N","L0N",1944311
"2021A0011L0P","L0P",1946942
"2021A0011L0R","L0R",1949573
"2021A0011L0S","L0S",1952204
"2021A0011L1A","L1A",1954835
"2021A0011L1B","L1B",1957466
"2021A0011L1C","L1C",1960097
"2021A0011L1E","L1E",1962728
"2021A0011L1G","L1G",1965359
"2021A0011L1H","L1H",1967990
"2021A0011L1J","L1J",1970621
"2021A0011L1K","L1K",1973252
"2021A0011L1L","L1L",1975883
"2021A0011L1M","L1M",1978514
"2021A0011L1N","L1N",1981145
"2021A0011L1P","L1P",1983776
"2021A0011L1R","L1R",1986407
"2021A0011L1S","L1S",1989038
"2021A0011L1T","L1T",1991669
"2021A0011L1V","L1V",1994300
"2021A0011L1W","L1W",1996931
"2021A0011L1X","L1X",1999562
"2021A0011L1Y","L1Y",2002193
"2021A0011L1Z","L1Z",2004824
"2021A0011L2A","L2A",2007455
"2021A0011L2E","L2E",2010086
"2021A0011L2G","L2G",2012717
"2021A0011L2H","L2H",2015348
"2021A0011L2J","L2J",2017979
"2021A0011L2M","L2M",2020610
"2021A0011L2N","L2N",2023241
"2021A0011L2P","L2P",2025872
"2021A0011L2R","L2R",2028503
"2021A0011L2S","L2S",2031134
"2021A0011L2T","L2T",2033765
"2021A0011L2V","L2V",2036396
"2021A0011L2W","L2W",2039027
"2021A0011L3B","L3B",2041658
"2021A0011L3C","L3C",2044289
"2021A0011L3K","L3K",2046920
"2021A0011L3L","L3L",2049551
"2021A0011L3M","L3M",2052182
"2021A0011L3P","L3P",2054813
"2021A0011L3R","L3R",2057444
"2021A0011L3S","L3S",2060075
"2021A0011L3T","L3T",2062706
"2021A0011L3V","L3V",2065337
"2021A0011L3X","L3X",2067968
